Date,Time,study_ID,subject_ID,participant_ID,age,gender,session,condition,response,corr3,trial_index,accuracy,bias_old,bias_sim,bias_new
09/17/2024,10:21:00,52,18535,135,25,Male,3,TL,1,1,44,1,0,0.04999999999999999,-0.04999999999999999
09/17/2024,10:21:00,52,18535,135,25,Male,3,TR,1,0,50,0,0,0.04999999999999999,-0.04999999999999999
09/17/2024,10:21:00,52,18535,135,25,Male,3,TR,0,0,56,1,0,0.04999999999999999,-0.04999999999999999
09/17/2024,10:21:00,52,18535,135,25,Male,3,TF,2,2,62,1,0,0.04999999999999999,-0.04999999999999999
09/17/2024,10:21:00,52,18535,135,25,Male,3,TF,2,2,68,1,0,0.04999999999999999,-0.04999999999999999
09/17/2024,10:21:00,52,18535,135,25,Male,3,TL,1,1,74,1,0,0.04999999999999999,-0.04999999999999999
09/17/2024,10:21:00,52,18535,135,25,Male,3,TF,2,2,80,1,0,0.04999999999999999,-0.04999999999999999
09/17/2024,10:21:00,52,18535,135,25,Male,3,TL,0,1,86,0,0,0.04999999999999999,-0.04999999999999999
09/17/2024,10:21:00,52,18535,135,25,Male,3,TL,1,1,92,1,0,0.04999999999999999,-0.04999999999999999
09/17/2024,10:21:00,52,18535,135,25,Male,3,TF,2,2,98,1,0,0.04999999999999999,-0.04999999999999999
09/17/2024,10:21:00,52,18535,135,25,Male,3,TL,2,1,104,0,0,0.04999999999999999,-0.04999999999999999
09/17/2024,10:21:00,52,18535,135,25,Male,3,TF,0,2,110,0,0,0.04999999999999999,-0.04999999999999999
09/17/2024,10:21:00,52,18535,135,25,Male,3,TF,2,2,116,1,0,0.04999999999999999,-0.04999999999999999
09/17/2024,10:21:00,52,18535,135,25,Male,3,TF,1,2,122,0,0,0.04999999999999999,-0.04999999999999999
10/29/2024,10:45:00,52,18535,135,25,Male,4,TF,1,2,8,0,0,0.04999999999999999,-0.04999999999999999
10/29/2024,10:45:00,52,18535,135,25,Male,4,TL,2,1,14,0,0,0.04999999999999999,-0.04999999999999999
10/29/2024,10:45:00,52,18535,135,25,Male,4,TR,2,0,20,0,0,0.04999999999999999,-0.04999999999999999
10/29/2024,10:45:00,52,18535,135,25,Male,4,TL,2,1,26,0,0,0.04999999999999999,-0.04999999999999999
10/29/2024,10:45:00,52,18535,135,25,Male,4,TF,1,2,32,0,0,0.04999999999999999,-0.04999999999999999
10/29/2024,10:45:00,52,18535,135,25,Male,4,TF,2,2,38,1,0,0.04999999999999999,-0.04999999999999999
10/29/2024,10:45:00,52,18535,135,25,Male,4,TL,0,1,44,0,0,0.04999999999999999,-0.04999999999999999
10/29/2024,10:45:00,52,18535,135,25,Male,4,TF,0,2,50,0,0,0.04999999999999999,-0.04999999999999999
10/29/2024,10:45:00,52,18535,135,25,Male,4,TR,1,0,56,0,0,0.04999999999999999,-0.04999999999999999
10/29/2024,10:45:00,52,18535,135,25,Male,4,TF,0,2,62,0,0,0.04999999999999999,-0.04999999999999999
10/29/2024,10:45:00,52,18535,135,25,Male,4,TF,2,2,68,1,0,0.04999999999999999,-0.04999999999999999
10/29/2024,10:45:00,52,18535,135,25,Male,4,TF,2,2,74,1,0,0.04999999999999999,-0.04999999999999999
10/29/2024,10:45:00,52,18535,135,25,Male,4,TF,2,2,80,1,0,0.04999999999999999,-0.04999999999999999
10/29/2024,10:45:00,52,18535,135,25,Male,4,TR,0,0,86,1,0,0.04999999999999999,-0.04999999999999999
10/29/2024,10:45:00,52,18535,135,25,Male,4,TL,1,1,92,1,0,0.04999999999999999,-0.04999999999999999
10/29/2024,10:45:00,52,18535,135,25,Male,4,TL,2,1,98,0,0,0.04999999999999999,-0.04999999999999999
10/29/2024,10:45:00,52,18535,135,25,Male,4,TF,2,2,104,1,0,0.04999999999999999,-0.04999999999999999
10/29/2024,10:45:00,52,18535,135,25,Male,4,TR,0,0,110,1,0,0.04999999999999999,-0.04999999999999999
10/29/2024,10:45:00,52,18535,135,25,Male,4,TR,2,0,116,0,0,0.04999999999999999,-0.04999999999999999
10/29/2024,10:45:00,52,18535,135,25,Male,4,TF,1,2,122,0,0,0.04999999999999999,-0.04999999999999999
08/23/2024,18:47:00,27,17814,148,12,Male,1,TF,2,2,14,1,0.02921348314606742,0.16404494382022472,-0.19325842696629214
08/23/2024,18:47:00,27,17814,148,12,Male,1,TF,2,2,20,1,0.02921348314606742,0.16404494382022472,-0.19325842696629214
08/23/2024,18:47:00,27,17814,148,12,Male,1,TF,1,2,26,0,0.02921348314606742,0.16404494382022472,-0.19325842696629214
08/23/2024,18:47:00,27,17814,148,12,Male,1,TF,1,2,32,0,0.02921348314606742,0.16404494382022472,-0.19325842696629214
08/23/2024,18:47:00,27,17814,148,12,Male,1,TF,2,2,38,1,0.02921348314606742,0.16404494382022472,-0.19325842696629214
08/23/2024,18:47:00,27,17814,148,12,Male,1,TF,0,2,44,0,0.02921348314606742,0.16404494382022472,-0.19325842696629214
08/23/2024,18:47:00,27,17814,148,12,Male,1,TF,1,2,50,0,0.02921348314606742,0.16404494382022472,-0.19325842696629214
